200.209.74.16 - - [21/Feb/2017:12:08:23 -0430] "HELP" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:24 -0430] "\x16\x03\x00\x00S\x01\x00\x00O\x03\x00?G\xD7\xF7\xBA,\xEE\xEA\xB2`~\xF3\x00\xFD\x82{\xB9\xD5\x96\xC8w\x9B\xE6\xC4\xDB<=\xDBo\xEF\x10n\x00\x00(\x00\x16\x00\x13\x00" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:24 -0430] "\x00\x00\x00\xA4\xFFSMBr\x00\x00\x00\x00\x08\x01@\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00@\x06\x00\x00\x01\x00\x00\x81\x00\x02PC NETWORK PROGRAM 1.0\x00\x02MICROSOFT NETWORKS 1.03\x00\x02MICROSOFT NETWORKS 3.0\x00\x02LANMAN1.0\x00\x02LM1.2X002\x00\x02Samba\x00\x02NT LANMAN 1.0\x00\x02NT LM 0.12\x00" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:27 -0430] "\x01default" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:28 -0430] "0\x0C\x02\x01\x01`\x07\x02\x01\x02\x04\x00\x80\x00" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:28 -0430] "OPTIONS sip:nm SIP/2.0" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:29 -0430] "TNMP\x04\x00\x00\x00TNME\x00\x00\x04\x00" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:30 -0430] "\x03\x00\x00\x0B\x06\xE0\x00\x00\x00\x00\x00" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:30 -0430] "DmdT\x00\x00\x00\x17\x00\x00\x00\x01\x00\x00\x00\x00\x11\x11\x00\xFF\x01\xFF\x13" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:30 -0430] ":\x00\x00\x00/\x00\x00\x00\x02\x00\x00@\x02\x0F\x00\x01\x00=\x05\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00/\x00\x00\x00\x00\x00\x00\x00\x00\x00@\x1F\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:30 -0430] "\x01\x00\x00\xFD\xCE\xFA\x0B\xB0\xA0\x00\x00\x00MMS\x14\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x01\x00\x03\x00\xF0\xF0\xF0\xF0\x0B\x00\x04\x00\x1C\x00\x03\x00N\x00S\x00P\x00l\x00a\x00y\x00e\x00r\x00/\x009\x00.\x000\x00.\x000\x00.\x002\x009\x008\x000\x00;\x00 \x00{\x000\x000\x000\x000\x00A\x00A\x000\x000\x00-\x000\x00A\x000\x000\x00-\x000\x000\x00a\x000\x00-\x00A\x00A\x000\x00A\x00-\x000\x000\x000\x000\x00A\x000\x00A\x00A\x000\x00A\x00A\x000\x00}\x00\x00\x00\xE0m\xDF_" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:30 -0430] "\x00Z\x00\x00\x01\x00\x00\x00\x016\x01,\x00\x00\x08\x00\x7F\xFF\x7F\x08\x00\x00\x00\x01\x00 \x00:\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x004\xE6\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00(CONNECT_DATA=(COMMAND=version))" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:08:31 -0430] "\x00\x03\x00\x01\x00\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\x00\x0F\x00" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:18:41 -0430] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0"
200.209.74.16 - - [21/Feb/2017:12:28:03 -0430] "\x11\xB6X\xC8\x06\xC0\xE6\xDEs\x07#\xB9\xFC\x0C\x17\xBFv\xEAxW\xF2\xB6Q\x1ES" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:31:23 -0430] "H\x84\x9A\x1C\xC4\xBC\xF6\xFA\xA8\xCC\x17]\xB7\xF75\xC92Qmy\x9E\xE1k\x22\x22\xE1u\x83R\xAA;6\x18\xE5\xF0\xFB\xE7\xAE\x83\x19\xE0\xCB\x9C\x08\xC5&\xD4h1\xDA\xF8\xB5M\x14\x92\x8F\xE4\xF6\xE1\xF4JZ\xB6\xECYK]\x82\xA1np\xD9\x22" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:32:06 -0430] "\xC3\xA2\x89\x9A\xB9\x9B\xCE\xE8'X\x8C\xFFK_.\x8Fk\xCC$" 400 181 "-" "-"
200.209.74.16 - - [21/Feb/2017:12:32:26 -0430] "\xE6\xA9/\xAF\xB9t\xE9V\xFA\x0E*\xE8\x10\x7F\x98<@\xF1\xC6:!_\xA6\xEB\x91\x12\xF6\xCA\xE0\x1F\xEBU\xEF" 400 181 "-" "-"
